Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5569.9,0,41:50.5,03:46.2,2.21,00:00.0,0,29,581,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4878021,-0.6530667
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,4300.7,0,35:12.9,01:34.9,5.27,00:00.0,0,35.5,447,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4946013,-0.6664201
1,4310.1,0,35:14.7,01:35.6,5.23,00:00.0,0,37,448,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4945494,-0.6663123
1,4318.6,0,35:16.5,01:35.6,5.23,00:00.0,0,35.5,449,8.4,0,---,---,---,---,---,---,---,---,---,---,51.494502,-0.666217
1,4327.1,0,35:17.9,01:34.5,5.29,00:00.0,0,35.5,450,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4944548,-0.6661203
1,4334.7,0,35:19.5,01:34.7,5.28,00:00.0,0,35.5,451,7.6,0,---,---,---,---,---,---,---,---,---,---,51.4944123,-0.6660339
1,4344.8,0,35:21.3,01:33.3,5.36,00:00.0,0,37,452,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4943566,-0.6659188
1,4353.3,0,35:22.9,01:34.0,5.32,00:00.0,0,35.5,453,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4943096,-0.6658224
1,4362.7,0,35:24.7,01:35.1,5.26,00:00.0,0,35.5,454,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4942571,-0.6657153
1,4371.2,0,35:26.3,01:34.7,5.28,00:00.0,0,35.5,455,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4942119,-0.665617
1,4379.7,0,35:27.9,01:35.1,5.26,00:00.0,0,35.5,456,8.5,0,---,---,---,---,---,---,---,---,---,---,51.494167,-0.665518
1,4389,0,35:29.7,01:35.8,5.22,00:00.0,0,35.5,457,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4941167,-0.6654115
1,4406.9,0,35:33.1,01:34.5,5.29,00:00.0,0,18,458,17.9,0,---,---,---,---,---,---,---,---,---,---,51.4940229,-0.6652005
1,4414.5,0,35:34.6,01:33.6,5.34,00:00.0,0,35.5,459,7.6,0,---,---,---,---,---,---,---,---,---,---,51.4939826,-0.6651126
1,4423.7,0,35:36.3,01:34.0,5.32,00:00.0,0,35.5,460,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4939337,-0.665005
1,4432.9,0,35:38.1,01:35.2,5.25,00:00.0,0,35.5,461,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4938828,-0.6649004
1,4441.2,0,35:39.7,01:36.9,5.16,00:00.0,0,36,462,8.3,0,---,---,---,---,---,---,---,---,---,---,51.4938382,-0.6648047
1,4449.6,0,35:41.3,01:37.1,5.15,00:00.0,0,35.5,463,8.4,0,---,---,---,---,---,---,---,---,---,---,51.493794,-0.6647063
1,4458.9,0,35:43.1,01:37.3,5.14,00:00.0,0,35.5,464,9.2,0,---,---,---,---,---,---,---,---,---,---,51.493745,-0.6645989
1,4467.3,0,35:44.7,01:37.5,5.13,00:00.0,0,35.5,465,8.4,0,---,---,---,---,---,---,---,---,---,---,51.4936999,-0.6645014
1,4475.6,0,35:46.5,01:37.7,5.12,00:00.0,0,35.5,466,8.3,0,---,---,---,---,---,---,---,---,---,---,51.4936539,-0.664407
1,4484.8,0,35:48.1,01:35.6,5.23,00:00.0,0,35.5,467,9.2,0,---,---,---,---,---,---,---,---,---,---,51.4936001,-0.664306
1,4493.2,0,35:49.7,01:35.4,5.24,00:00.0,0,35.5,468,8.4,0,---,---,---,---,---,---,---,---,---,---,51.4935511,-0.6642144
